PLAYER,TEAM,POSITION,Bats,PA,AVG,OBP,SLG,OPS,1B,1B%,2B,2B%,3B,3B%,HR,HR%,R,RBI,SB,CS,SB%,BB,BB%,K,K%,HBP,OUT%,,
Carson Kelly,Arizona Diamondbacks,C,R,365,0.245,0.348,0.478,0.826,77,0.211,19,0.052,0,0,18,0.049,46,47,0,0,NA,48,0.132,79,0.216,2,0.340,,
Christian Walker,Arizona Diamondbacks,1B,R,603,0.259,0.348,0.476,0.825,137,0.227,26,0.043,1,0.002,29,0.048,86,73,8,1,0.889,67,0.111,155,0.257,6,0.312,,
Ketel Marte,Arizona Diamondbacks,2B,S,628,0.329,0.389,0.592,0.981,187,0.298,36,0.057,9,0.014,32,0.051,97,92,10,2,0.833,53,0.084,86,0.137,4,0.358,,
Eduardo Escobar,Arizona Diamondbacks,3B,S,699,0.269,0.320,0.511,0.831,171,0.245,29,0.041,10,0.014,35,0.050,94,118,5,1,0.833,50,0.072,130,0.186,3,0.392,,
Nick Ahmed,Arizona Diamondbacks,SS,R,625,0.254,0.316,0.437,0.753,141,0.226,33,0.053,6,0.010,19,0.030,79,82,8,2,0.800,52,0.083,113,0.181,4,0.418,,
David Peralta,Arizona Diamondbacks,LF,L,423,0.275,0.343,0.461,0.804,105,0.248,29,0.069,3,0.007,12,0.028,48,57,0,0,NA,35,0.083,87,0.206,5,0.359,,
Jarrod Dyson,Arizona Diamondbacks,CF,L,452,0.230,0.313,0.320,0.633,92,0.204,11,0.024,2,0.004,7,0.015,65,27,30,4,0.882,47,0.104,86,0.190,2,0.458,,
Adam Jones,Arizona Diamondbacks,RF,R,528,0.260,0.313,0.414,0.728,126,0.239,25,0.047,1,0.002,16,0.030,66,67,2,1,0.667,31,0.059,101,0.191,8,0.432,,
Wilmer Flores,Arizona Diamondbacks,DH,R,285,0.317,0.361,0.487,0.848,84,0.295,18,0.063,0,0,9,0.032,31,37,0,0,NA,15,0.053,31,0.109,4,0.449,,
Brian McCann,Atlanta Braves,C,L,316,0.249,0.323,0.412,0.734,69,0.218,9,0.028,0,0,12,0.038,28,45,0,0,NA,31,0.098,53,0.168,2,0.449,,
Freddie Freeman,Atlanta Braves,1B,L,692,0.295,0.389,0.549,0.938,176,0.254,34,0.049,2,0.003,38,0.055,113,121,6,3,0.667,87,0.126,127,0.184,6,0.329,,
Ozzie Albies,Atlanta Braves,2B,S,702,0.295,0.352,0.500,0.852,189,0.269,43,0.061,8,0.011,24,0.034,102,86,15,4,0.789,54,0.077,112,0.160,4,0.387,,
Josh Donaldson,Atlanta Braves,3B,R,659,0.259,0.379,0.521,0.900,142,0.215,33,0.050,0,0,37,0.056,96,94,4,2,0.667,100,0.152,155,0.235,8,0.291,,
